Sat Jul 12 04:25:56 2025   Switch4   SW1(config-if)#do sh vlan 
Sat Jul 12 04:38:24 2025   Switch4   SW1(config-if)#no interface vlan10
Sat Jul 12 04:38:29 2025   Switch4   SW1(config)#no interface vlan20
Sat Jul 12 04:38:33 2025   Switch4   SW1(config)#no interface vlan180
Sat Jul 12 04:38:38 2025   Switch4   SW1(config)#do sh ip int br
Sat Jul 12 04:39:19 2025   Main Router   R1>en
Sat Jul 12 04:39:22 2025   Main Router   R1#config term
Sat Jul 12 04:39:33 2025   Main Router   R1(config)#interface fa0/0.10
Sat Jul 12 04:40:08 2025   Main Router   R1(config)#interface g0/0/1.10
Sat Jul 12 04:40:19 2025   Main Router   R1(config-subif)#encapsulation dot1q 10
Sat Jul 12 04:40:44 2025   Main Router   R1(config-subif)#ip address 192.168.10.254 255.255.255.0
Sat Jul 12 04:40:47 2025   Main Router   R1(config-subif)#exit
Sat Jul 12 04:41:07 2025   Main Router   R1(config)#interface g0/0/1.20
Sat Jul 12 04:41:22 2025   Main Router   R1(config-subif)#encapsulation dot1q 20
Sat Jul 12 04:41:45 2025   Main Router   R1(config-subif)#ip address 192.168.20.254 255.255.255.0
Sat Jul 12 04:41:48 2025   Main Router   R1(config-subif)#exit
Sat Jul 12 04:42:21 2025   Main Router   R1(config)#interface g0/0/1.180
Sat Jul 12 04:42:35 2025   Main Router   R1(config-subif)#encapsulation dot1q 180
Sat Jul 12 04:42:58 2025   Main Router   R1(config-subif)#ip address 192.168.180.254 255.255.255.0
Sat Jul 12 04:43:12 2025   Main Router   R1(config-subif)#ip address 192.168.30.254 255.255.255.0
Sat Jul 12 04:43:26 2025   Main Router   R1(config-subif)#exit
Sat Jul 12 04:43:41 2025   Main Router   R1(config)#interface g0/0/1.99 
Sat Jul 12 04:43:52 2025   Main Router   R1(config-subif)#encapsulation dot1q 99
Sat Jul 12 04:44:02 2025   Main Router   R1(config-subif)#encapsulation dot1q 99 native
Sat Jul 12 04:44:25 2025   Main Router   R1(config-subif)#ip address 192.168.99.1 255.255.255.0
Sat Jul 12 04:44:27 2025   Main Router   R1(config-subif)#exit
Sat Jul 12 04:44:40 2025   Main Router   R1(config)#int g0/0/1
Sat Jul 12 04:44:43 2025   Main Router   R1(config-if)#no shutdown
Sat Jul 12 04:45:17 2025   Switch4   SW1(config)#interface vlan 99
Sat Jul 12 04:45:39 2025   Switch4   SW1(config-if)#ip address 192.168.99.2 255.255.255.0
Sun Jul 13 11:18:05 2025   Switch4   SW1>en
Sun Jul 13 11:18:13 2025   Switch4   SW1#conf t
Sun Jul 13 11:20:49 2025   Switch4   SW1(config)#enable secret CiscoAdmin
Sun Jul 13 11:36:48 2025   Switch4   SW1(config)#line console 0
Sun Jul 13 11:37:00 2025   Switch4   SW1(config-line)#password Cisco
